Date,Close
2020-11-02,330.2
2020-11-03,336.03
2020-11-04,343.54
2020-11-05,350.24
2020-11-06,350.16
2020-11-09,354.56
2020-11-10,354.04
2020-11-11,356.67
2020-11-12,353.21
2020-11-13,358.1
2020-11-16,362.57
2020-11-17,360.62
2020-11-18,356.28
2020-11-19,357.78
2020-11-20,355.33
2020-11-23,357.46
2020-11-24,363.22
2020-11-25,362.66
2020-11-27,363.67
2020-11-30,362.06
2020-12-01,366.02
2020-12-02,366.79
2020-12-03,366.69
2020-12-04,369.85
2020-12-07,369.09
2020-12-08,370.17
2020-12-09,366.85
2020-12-10,366.73
2020-12-11,366.3
2020-12-14,364.66
2020-12-15,369.59
2020-12-16,370.17
2020-12-17,372.24
2020-12-18,369.18
2020-12-21,367.86
2020-12-22,367.24
2020-12-23,367.57
2020-12-24,369
2020-12-28,372.17
2020-12-29,371.46
2020-12-30,371.99
2020-12-31,373.88
2021-01-04,368.79
2021-01-05,371.33
2021-01-06,373.55
2021-01-07,379.1
2021-01-08,381.26
2021-01-11,378.69
2021-01-12,378.77
2021-01-13,379.79
2021-01-14,378.46
2021-01-15,375.7
2021-01-19,378.65
2021-01-20,383.89
2021-01-21,384.24
2021-01-22,382.88
2021-01-25,384.39
2021-01-26,383.79
2021-01-27,374.41
2021-01-28,377.63
2021-01-29,370.07
2021-02-01,376.23
2021-02-02,381.55
2021-02-03,381.85
2021-02-04,386.19
2021-02-05,387.71
2021-02-08,390.51
2021-02-09,390.25
2021-02-10,390.08
2021-02-11,390.71
2021-02-12,392.64
2021-02-16,392.3
2021-02-17,392.39
2021-02-18,390.72
2021-02-19,390.03
2021-02-22,387.03
2021-02-23,387.5
2021-02-24,391.77
2021-02-25,382.33
2021-02-26,380.36
2021-03-01,389.58
2021-03-02,386.54
2021-03-03,381.42
2021-03-04,376.7
2021-03-05,383.63
2021-03-08,381.72
2021-03-09,387.17
2021-03-10,389.58
2021-03-11,393.53
2021-03-12,394.06
2021-03-15,396.41
2021-03-16,395.91
2021-03-17,397.26
2021-03-18,391.48
2021-03-19,389.48
2021-03-22,392.59
2021-03-23,389.5
2021-03-24,387.52
2021-03-25,389.7
2021-03-26,395.98
2021-03-29,395.78
2021-03-30,394.73
2021-03-31,396.33
2021-04-01,400.61
2021-04-05,406.36
2021-04-06,406.12
2021-04-07,406.59
2021-04-08,408.52
2021-04-09,411.49
2021-04-12,411.64
2021-04-13,412.86
2021-04-14,411.45
2021-04-15,415.87
2021-04-16,417.26
2021-04-19,415.21
2021-04-20,412.17
2021-04-21,416.07
2021-04-22,412.27
2021-04-23,416.74
2021-04-26,417.61
2021-04-27,417.52
2021-04-28,417.4
2021-04-29,420.06
2021-04-30,417.3
2021-05-03,418.2
2021-05-04,415.62
2021-05-05,415.75
2021-05-06,419.07
2021-05-07,422.12
2021-05-10,417.94
2021-05-11,414.21
2021-05-12,405.41
2021-05-13,410.28
2021-05-14,416.58
2021-05-17,415.52
2021-05-18,411.94
2021-05-19,410.86
2021-05-20,415.28
2021-05-21,414.94
